TIME [s]|X_ORS[m]|Y_ORS[m]|Z_ORS[m]|X_ITRF[m]|Y_ITRF[m]|Z_ITRF[m]|LAT[°]|LON[°]|H[m]
0|7035927.0|25582805.0|0.0|-13506136.0|15217404.0|17029359.0|39.97352|131.59051|20163372.0
30|6923801.0|25613824.0|0.0|-13570801.0|15227068.0|16969878.0|39.8054|131.70834|20163741.0
60|6811542.0|25644352.0|0.0|-13635229.0|15236795.0|16910071.0|39.63679|131.82499|20164110.0
90|6699153.0|25674387.0|0.0|-13699417.0|15246584.0|16849939.0|39.46767|131.94045|20164480.0
120|6586635.0|25703929.0|0.0|-13763365.0|15256433.0|16789484.0|39.29807|132.05473|20164850.0
150|6473990.0|25732978.0|0.0|-13827071.0|15266342.0|16728706.0|39.12798|132.16785|20165220.0
180|6361221.0|25761532.0|0.0|-13890535.0|15276308.0|16667607.0|38.95741|132.27981|20165591.0
210|6248330.0|25789592.0|0.0|-13953754.0|15286332.0|16606188.0|38.78637|132.39063|20165962.0
240|6135319.0|25817157.0|0.0|-14016729.0|15296411.0|16544451.0|38.61486|132.50031|20166334.0
270|6022190.0|25844226.0|0.0|-14079457.0|15306545.0|16482395.0|38.44288|132.60886|20166706.0
300|5908945.0|25870799.0|0.0|-14141938.0|15316733.0|16420024.0|38.27045|132.71629|20167079.0
330|5795587.0|25896875.0|0.0|-14204170.0|15326972.0|16357337.0|38.09756|132.82261|20167451.0
360|5682118.0|25922455.0|0.0|-14266153.0|15337263.0|16294336.0|37.92422|132.92783|20167824.0
390|5568540.0|25947536.0|0.0|-14327885.0|15347603.0|16231022.0|37.75044|133.03196|20168198.0
420|5454855.0|25972120.0|0.0|-14389365.0|15357992.0|16167397.0|37.57622|133.13501|20168572.0
450|5341065.0|25996205.0|0.0|-14450592.0|15368428.0|16103461.0|37.40157|133.23698|20168946.0
480|5227173.0|26019791.0|0.0|-14511566.0|15378909.0|16039217.0|37.22649|133.33789|20169320.0
510|5113180.0|26042878.0|0.0|-14572284.0|15389436.0|15974664.0|37.05098|133.43775|20169695.0
540|4999089.0|26065465.0|0.0|-14632747.0|15400006.0|15909806.0|36.87506|133.53656|20170070.0
570|4884903.0|26087552.0|0.0|-14692952.0|15410618.0|15844641.0|36.69872|133.63433|20170446.0
600|4770622.0|26109139.0|0.0|-14752899.0|15421272.0|15779173.0|36.52196|133.73108|20170822.0
630|4656250.0|26130224.0|0.0|-14812588.0|15431964.0|15713402.0|36.34481|133.82681|20171198.0
660|4541789.0|26150808.0|0.0|-14872015.0|15442696.0|15647330.0|36.16725|133.92152|20171575.0
690|4427241.0|26170891.0|0.0|-14931182.0|15453464.0|15580957.0|35.98929|134.01524|20171951.0
720|4312607.0|26190471.0|0.0|-14990087.0|15464268.0|15514285.0|35.81095|134.10796|20172328.0
750|4197891.0|26209549.0|0.0|-15048728.0|15475107.0|15447316.0|35.63221|134.1997|20172706.0
780|4083094.0|26228124.0|0.0|-15107106.0|15485979.0|15380051.0|35.45309|134.29047|20173084.0
810|3968220.0|26246196.0|0.0|-15165218.0|15496883.0|15312490.0|35.2736|134.38027|20173462.0
840|3853269.0|26263765.0|0.0|-15223064.0|15507818.0|15244636.0|35.09372|134.46911|20173840.0
870|3738244.0|26280830.0|0.0|-15280643.0|15518782.0|15176489.0|34.91348|134.557|20174219.0
900|3623147.0|26297391.0|0.0|-15337954.0|15529774.0|15108051.0|34.73287|134.64395|20174598.0
930|3507981.0|26313447.0|0.0|-15394997.0|15540793.0|15039324.0|34.5519|134.72998|20174977.0
960|3392747.0|26328999.0|0.0|-15451769.0|15551837.0|14970308.0|34.37057|134.81507|20175357.0
990|3277449.0|26344046.0|0.0|-15508271.0|15562905.0|14901005.0|34.18888|134.89925|20175736.0
1020|3162088.0|26358588.0|0.0|-15564501.0|15573996.0|14831417.0|34.00685|134.98253|20176117.0
1050|3046666.0|26372625.0|0.0|-15620459.0|15585108.0|14761544.0|33.82447|135.06491|20176497.0
1080|2931185.0|26386156.0|0.0|-15676143.0|15596241.0|14691388.0|33.64174|135.14639|20176878.0
1110|2815649.0|26399181.0|0.0|-15731553.0|15607392.0|14620950.0|33.45868|135.227|20177258.0
1140|2700058.0|26411700.0|0.0|-15786688.0|15618560.0|14550232.0|33.27528|135.30673|20177640.0
1170|2584416.0|26423712.0|0.0|-15841547.0|15629744.0|14479235.0|33.09156|135.3856|20178021.0
1200|2468724.0|26435219.0|0.0|-15896129.0|15640944.0|14407961.0|32.9075|135.4636|20178403.0
1230|2352985.0|26446218.0|0.0|-15950434.0|15652156.0|14336410.0|32.72312|135.54076|20178785.0
1260|2237201.0|26456711.0|0.0|-16004460.0|15663380.0|14264585.0|32.53842|135.61708|20179167.0
1290|2121374.0|26466696.0|0.0|-16058207.0|15674615.0|14192486.0|32.35341|135.69257|20179549.0
1320|2005506.0|26476174.0|0.0|-16111673.0|15685859.0|14120116.0|32.16808|135.76723|20179932.0
1350|1889600.0|26485145.0|0.0|-16164859.0|15697111.0|14047474.0|31.98245|135.84107|20180315.0
1380|1773658.0|26493609.0|0.0|-16217763.0|15708370.0|13974564.0|31.7965|135.9141|20180698.0
1410|1657681.0|26501564.0|0.0|-16270385.0|15719633.0|13901385.0|31.61026|135.98633|20181082.0
1440|1541673.0|26509012.0|0.0|-16322724.0|15730900.0|13827941.0|31.42372|136.05776|20181465.0
1470|1425635.0|26515952.0|0.0|-16374779.0|15742170.0|13754231.0|31.23688|136.12841|20181849.0
1500|1309570.0|26522384.0|0.0|-16426549.0|15753440.0|13680258.0|31.04975|136.19828|20182233.0
1530|1193480.0|26528308.0|0.0|-16478033.0|15764710.0|13606023.0|30.86234|136.26738|20182618.0
1560|1077367.0|26533723.0|0.0|-16529232.0|15775978.0|13531527.0|30.67464|136.33571|20183002.0
1590|961234.0|26538631.0|0.0|-16580144.0|15787242.0|13456771.0|30.48665|136.40329|20183387.0
1620|845082.0|26543030.0|0.0|-16630768.0|15798502.0|13381759.0|30.29839|136.47012|20183772.0
1650|728913.0|26546920.0|0.0|-16681104.0|15809756.0|13306489.0|30.10986|136.5362|20184157.0
1680|612731.0|26550302.0|0.0|-16731151.0|15821003.0|13230965.0|29.92105|136.60156|20184542.0
